Instituição;Cod.IBGE;UF;População;Coluna;Conta;Identificador da Conta;Valor
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;495
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;49322254,9
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;568277544,9
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;115169604,9
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;34979212,2
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;241111052,2
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;177017675,7
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;32371443,16
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1179986731
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;693888985,1
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;84053734,92
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;2834649,68
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;399209361,6
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;2392432031
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;2392432031
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-9>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal;2392432031
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;3700532057
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;2933782749
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;2376963847
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;226099627,3
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;44822994,98
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;139919359,4
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;145976920,1
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Contribuições;siconfi-cor_RREO3ReceitaDeContribuicoes;83892915,07
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Receita Patrimonial;siconfi-cor_RREO3ReceitaPatrimonial;25713801,62
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Rendimentos de Aplicação Financeira;siconfi-cor_RendimentosDeAplicacaoFinanceira;14872866,82
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Outras Receitas Patrimoniais;siconfi-cor_OutrasReceitasPatrimoniais;10840934,8
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Receita Agropecuária;siconfi-cor_RREO3ReceitaAgropecuaria;382722,56
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Receita Industrial;siconfi-cor_RREO3ReceitaIndustrial;7041,7
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Receita de Serviços;siconfi-cor_RREO3ReceitaDeServicos;49063650,73
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Transferências Correntes;siconfi-cor_RREO3TransferenciasCorrentes;574108944,8
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Cota-Parte do FPE;siconfi-cor_RREO3CotaParteDoFPE;120401078,7
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Transferências da LC nº 61/1989;siconfi-cor_RREO3TransferenciasDaLC611989;35082518,75
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Transferências do FUNDEB;siconfi-cor_RREO3TransferenciasDoFUNDEB;251392461,9
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Outras Transferências Correntes;siconfi-cor_RREO3OutrasTransferenciasCorrentes;167232885,6
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Outras Receitas Correntes;siconfi-cor_RREO3OutrasReceitasCorrentes;33580231,43
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;DEDUÇÕES (II);siconfi-cor_DeducoesDaReceitaCorrenteLiquida;1220880276
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Transferências Constitucionais e Legais;siconfi-cor_ReceitaDeTransferenciasConstitucionaisELegais;716767368,8
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Contrib. do Servidor para o Plano de Previdência;siconfi-cor_ContribuicaoDoServidorParaOPlanoDePrevidencia;83740722,16
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Compensações Financ. entre Regimes Previdência;siconfi-cor_CompensacaoFinanceiraEntreRegimesPrevidencia;2910463,24
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;Dedução de Receita para Formação do FUNDEB;siconfi-cor_DeducaoDeReceitaParaFormacaoDoFUNDEB;417461721,5
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;RECEITA CORRENTE LÍQUIDA (III) = (I - II);siconfi-cor_RREO3ReceitaCorrenteLiquida;2479651782
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DE ENDIVIDAMENTO (V) = (III - IV);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDeEndividamento;2479651782
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-8>;RECEITA CORRENTE LÍQUIDA AJUSTADA PARA CÁLCULO DOS LIMITES DA DESPESA COM PESSOAL (VII) = (V - VI);siconfi-cor_RREO3ReceitaCorrenteLiquidaAjustadaParaCalculoDosLimitesDaDespesaComPessoal;2479651782
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;RECEITAS CORRENTES (I);siconfi-cor_ReceitasCorrentesLiquidasExcetoTransferenciasEFUNDEB;3730611307
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_ReceitaTributariaLiquidaExcetoTransferenciasEFUNDEB;2898713233
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;ICMS;siconfi-cor_ICMSLiquidoExcetoTransferenciasEFUNDEB;2328315509
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;IPVA;siconfi-cor_IPVALiquidoExcetoTransferenciasEFUNDEB;227073940
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;ITCD;siconfi-cor_ITCDLiquidoExcetoTransferenciasEFUNDEB;59000876,79
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;IRRF;siconfi-cor_IRRFLiquidoExcetoTransferenciasEFUNDEB;138991704,1
Governo do Estado de Santa Catarina;42;SC;7252502;<MR-7>;Outros Impostos, Taxas e Contribuições de Melhoria;siconfi-cor_OutrasReceitasTributarias;145331202,9
